,image,angle
12834,12835.jpg,7.97
3966,3967.jpg,9.18
34389,34390.jpg,63.53
22264,22265.jpg,1.01
45305,45306.jpg,19.36
42286,42287.jpg,-148.1
6554,6555.jpg,-0.4
33991,33992.jpg,15.23
41153,41154.jpg,0.0
23532,23533.jpg,-13.31
33800,33801.jpg,-10.39
37709,37710.jpg,3.23
44646,44647.jpg,9.88
41808,41809.jpg,-0.91
34819,34820.jpg,1.31
40727,40728.jpg,0.1
28861,28862.jpg,1.51
15717,15718.jpg,-16.74
3969,3970.jpg,9.98
13341,13342.jpg,3.83
37923,37924.jpg,-10.08
15993,15994.jpg,-10.69
42243,42244.jpg,-155.3
11033,11034.jpg,1.71
40457,40458.jpg,13.82
27765,27766.jpg,-36.61
135,136.jpg,9.78
34018,34019.jpg,0.0
15952,15953.jpg,-10.18
31607,31608.jpg,11.8
19308,19309.jpg,13.31
31937,31938.jpg,4.13
29769,29770.jpg,3.03
38807,38808.jpg,8.27
8774,8775.jpg,2.02
38460,38461.jpg,11.39
10274,10275.jpg,0.0
22789,22790.jpg,-9.08
44741,44742.jpg,9.78
15393,15394.jpg,-16.64
37506,37507.jpg,2.92
4463,4464.jpg,254.72
40914,40915.jpg,-0.5
38457,38458.jpg,26.12
4115,4116.jpg,10.99
16868,16869.jpg,0.2
39591,39592.jpg,10.69
27961,27962.jpg,10.08
12362,12363.jpg,26.12
1031,1032.jpg,37.11
44003,44004.jpg,6.05
17807,17808.jpg,-1.11
18872,18873.jpg,2.12
16186,16187.jpg,14.12
4904,4905.jpg,19.76
18333,18334.jpg,1.92
16544,16545.jpg,-14.02
15573,15574.jpg,-16.44
40383,40384.jpg,14.52
26837,26838.jpg,-6.86
8752,8753.jpg,-0.71
9206,9207.jpg,19.87
31907,31908.jpg,-6.96
29060,29061.jpg,-4.84
25407,25408.jpg,-11.19
28327,28328.jpg,44.57
20705,20706.jpg,-3.23
20142,20143.jpg,-9.08
32205,32206.jpg,39.13
6490,6491.jpg,-1.41
2799,2800.jpg,-0.1
31058,31059.jpg,-70.79
7433,7434.jpg,-2.62
44311,44312.jpg,9.78
6954,6955.jpg,193.21
19004,19005.jpg,2.42
6076,6077.jpg,-14.92
8103,8104.jpg,-0.61
33633,33634.jpg,-46.79
17889,17890.jpg,7.36
40424,40425.jpg,13.51
3872,3873.jpg,3.63
35846,35847.jpg,-39.93
23800,23801.jpg,1.01
40422,40423.jpg,13.51
8701,8702.jpg,-10.08
27347,27348.jpg,8.67
20127,20128.jpg,-13.82
4944,4945.jpg,17.45
20560,20561.jpg,0.2
28839,28840.jpg,-0.3
37241,37242.jpg,-37.82
19455,19456.jpg,1.51
36354,36355.jpg,12.1
27310,27311.jpg,15.93
4360,4361.jpg,4.74
11706,11707.jpg,-16.74
35620,35621.jpg,-13.51
16646,16647.jpg,-11.6
3681,3682.jpg,2.22
9440,9441.jpg,-1.61
36208,36209.jpg,-8.87
32541,32542.jpg,-27.43
44835,44836.jpg,13.92
29805,29806.jpg,0.91
41451,41452.jpg,4.34
29709,29710.jpg,50.32
40258,40259.jpg,5.75
25840,25841.jpg,-72.71
13319,13320.jpg,2.02
44343,44344.jpg,9.88
670,671.jpg,3.53
23230,23231.jpg,12.2
35964,35965.jpg,-1.41
32019,32020.jpg,19.56
37655,37656.jpg,0.81
4319,4320.jpg,4.34
31462,31463.jpg,6.55
5020,5021.jpg,22.89
20342,20343.jpg,-8.17
20809,20810.jpg,13.01
39624,39625.jpg,-0.81
7106,7107.jpg,-1.92
3407,3408.jpg,2.42
21857,21858.jpg,22.69
44548,44549.jpg,9.78
4184,4185.jpg,8.57
38997,38998.jpg,9.48
14256,14257.jpg,-14.22
10921,10922.jpg,-5.85
6711,6712.jpg,1.51
15285,15286.jpg,-2.12
9862,9863.jpg,-8.57
42499,42500.jpg,-2.92
21368,21369.jpg,13.82
32637,32638.jpg,-13.31
18962,18963.jpg,1.41
27980,27981.jpg,16.94
25876,25877.jpg,-24.2
18871,18872.jpg,2.22
43792,43793.jpg,-13.41
5595,5596.jpg,-2.62
11943,11944.jpg,-17.65
25546,25547.jpg,15.13
1001,1002.jpg,131.9
44316,44317.jpg,9.78
26477,26478.jpg,8.77
4456,4457.jpg,252.91
2636,2637.jpg,-7.46
28890,28891.jpg,1.82
40928,40929.jpg,0.1
7284,7285.jpg,-4.94
14174,14175.jpg,-22.39
2702,2703.jpg,-11.09
2931,2932.jpg,0.0
26826,26827.jpg,-5.95
40048,40049.jpg,-2.12
7419,7420.jpg,-2.72
5006,5007.jpg,21.08
17358,17359.jpg,1.71
3236,3237.jpg,2.42
19612,19613.jpg,15.93
43929,43930.jpg,-19.36
16165,16166.jpg,10.79
20586,20587.jpg,-1.82
31901,31902.jpg,-6.86
6033,6034.jpg,-16.44
39864,39865.jpg,-0.1
35636,35637.jpg,-27.12
10200,10201.jpg,0.0
21408,21409.jpg,17.45
23670,23671.jpg,-14.22
11708,11709.jpg,-16.64
19064,19065.jpg,-7.76
36626,36627.jpg,27.73
12512,12513.jpg,0.0
5355,5356.jpg,-19.06
28576,28577.jpg,-19.66
28976,28977.jpg,-0.1
9613,9614.jpg,-12.0
16703,16704.jpg,-10.79
24725,24726.jpg,-10.69
37757,37758.jpg,-1.71
34905,34906.jpg,9.08
44764,44765.jpg,8.97
22993,22994.jpg,1.61
8250,8251.jpg,-14.92
18288,18289.jpg,6.45
12057,12058.jpg,1.71
15465,15466.jpg,-20.67
27085,27086.jpg,54.25
24350,24351.jpg,1.01
39669,39670.jpg,4.34
33932,33933.jpg,12.81
45154,45155.jpg,13.01
5189,5190.jpg,0.0
43156,43157.jpg,0.71
28166,28167.jpg,41.04
39616,39617.jpg,1.01
14796,14797.jpg,-6.55
32176,32177.jpg,24.5
38230,38231.jpg,6.96
16996,16997.jpg,1.31
33397,33398.jpg,66.35
9478,9479.jpg,-2.32
32304,32305.jpg,23.8
8807,8808.jpg,2.12
28381,28382.jpg,5.95
23210,23211.jpg,12.0
20581,20582.jpg,1.21
26579,26580.jpg,-73.61
25288,25289.jpg,0.3
1991,1992.jpg,0.3
43113,43114.jpg,-0.5
6413,6414.jpg,15.13
14916,14917.jpg,14.12
27445,27446.jpg,17.34
20913,20914.jpg,10.49
12363,12364.jpg,26.12
27058,27059.jpg,45.78
31340,31341.jpg,0.5
25751,25752.jpg,-63.23
26183,26184.jpg,87.53
16577,16578.jpg,-10.08
13351,13352.jpg,6.66
38308,38309.jpg,54.35
35389,35390.jpg,2.72
10077,10078.jpg,-0.61
2344,2345.jpg,9.08
35566,35567.jpg,24.61
25523,25524.jpg,12.3
40065,40066.jpg,-2.62
40974,40975.jpg,2.12
19419,19420.jpg,1.01
37439,37440.jpg,1.41
34569,34570.jpg,-42.76
9195,9196.jpg,23.7
31316,31317.jpg,-4.94
3487,3488.jpg,-0.1
35923,35924.jpg,3.53
12814,12815.jpg,7.36
13869,13870.jpg,-10.39
36438,36439.jpg,45.78
26712,26713.jpg,-81.48
36784,36785.jpg,12.4
43207,43208.jpg,4.94
2785,2786.jpg,-0.2
2068,2069.jpg,-0.2
30179,30180.jpg,-43.97
11307,11308.jpg,0.61
7647,7648.jpg,-1.41
20254,20255.jpg,-9.48
29616,29617.jpg,20.77
12618,12619.jpg,1.61
29655,29656.jpg,33.68
42677,42678.jpg,16.64
9092,9093.jpg,25.61
41574,41575.jpg,0.1
12082,12083.jpg,0.0
42204,42205.jpg,-16.24
44234,44235.jpg,9.28
42701,42702.jpg,20.07
17247,17248.jpg,0.0
19643,19644.jpg,4.84
32414,32415.jpg,-0.1
13229,13230.jpg,0.4
12780,12781.jpg,0.0
23803,23804.jpg,1.01
18462,18463.jpg,0.4
5208,5209.jpg,-1.82
6178,6179.jpg,3.43
361,362.jpg,-2.82
42826,42827.jpg,11.5
29424,29425.jpg,-15.33
43666,43667.jpg,25.92
43963,43964.jpg,-5.95
11082,11083.jpg,1.31
45059,45060.jpg,4.34
21007,21008.jpg,20.07
38041,38042.jpg,1.41
23147,23148.jpg,13.51
25714,25715.jpg,-72.1
1824,1825.jpg,0.0
3068,3069.jpg,4.64
23734,23735.jpg,-14.02
2856,2857.jpg,0.61
11610,11611.jpg,-4.44
6731,6732.jpg,1.51
9484,9485.jpg,-7.56
10090,10091.jpg,-0.4
33185,33186.jpg,-69.58
15949,15950.jpg,-10.18
43015,43016.jpg,-20.27
6522,6523.jpg,-0.81
37163,37164.jpg,-77.24
26405,26406.jpg,11.19
37951,37952.jpg,-17.95
7171,7172.jpg,-1.92
30024,30025.jpg,-29.45
37205,37206.jpg,-64.34
33377,33378.jpg,65.95
17006,17007.jpg,1.51
22433,22434.jpg,-6.55
546,547.jpg,-102.15
10550,10551.jpg,2.52
16717,16718.jpg,-7.06
11542,11543.jpg,2.42
36302,36303.jpg,-12.5
19385,19386.jpg,2.82
14946,14947.jpg,18.45
23690,23691.jpg,-10.08
18324,18325.jpg,0.91
16651,16652.jpg,-11.6
41207,41208.jpg,0.61
14918,14919.jpg,14.02
20115,20116.jpg,-19.56
8436,8437.jpg,-0.1
26849,26850.jpg,-6.96
18022,18023.jpg,8.67
33799,33800.jpg,0.0
43232,43233.jpg,-11.29
33072,33073.jpg,9.78
12611,12612.jpg,2.52
42470,42471.jpg,1.51
12408,12409.jpg,29.85
21571,21572.jpg,-24.2
16328,16329.jpg,-1.11
14258,14259.jpg,-14.82
42544,42545.jpg,0.0
16332,16333.jpg,-1.11
2426,2427.jpg,-0.61
20977,20978.jpg,0.0
44869,44870.jpg,8.57
7814,7815.jpg,0.0
19678,19679.jpg,2.62
37154,37155.jpg,-76.03
22929,22930.jpg,0.2
24062,24063.jpg,-1.11
21642,21643.jpg,44.47
17168,17169.jpg,3.03
12812,12813.jpg,7.36
33047,33048.jpg,12.71
9665,9666.jpg,-13.11
38302,38303.jpg,69.48
44098,44099.jpg,9.68
1640,1641.jpg,-0.61
8584,8585.jpg,-9.78
7497,7498.jpg,0.2
39313,39314.jpg,-1.92
14534,14535.jpg,-4.64
41495,41496.jpg,-1.51
8268,8269.jpg,3.43
28318,28319.jpg,47.29
18890,18891.jpg,1.31
13162,13163.jpg,0.5
33690,33691.jpg,-43.06
9657,9658.jpg,-10.69
12975,12976.jpg,7.97
20754,20755.jpg,1.11
14639,14640.jpg,-81.78
2485,2486.jpg,0.2
26794,26795.jpg,-4.84
4150,4151.jpg,8.97
16766,16767.jpg,3.53
41252,41253.jpg,0.61
29015,29016.jpg,-0.5
33828,33829.jpg,0.1
26215,26216.jpg,87.13
2500,2501.jpg,0.4
8072,8073.jpg,0.0
29347,29348.jpg,-13.21
11126,11127.jpg,1.51
42767,42768.jpg,23.19
38709,38710.jpg,8.27
11070,11071.jpg,1.51
38708,38709.jpg,8.27
20285,20286.jpg,-9.28
23785,23786.jpg,1.21
38321,38322.jpg,32.37
38913,38914.jpg,7.66
8299,8300.jpg,5.55
36785,36786.jpg,12.5
42968,42969.jpg,-16.13
38140,38141.jpg,6.35
31012,31013.jpg,-73.31
13896,13897.jpg,-21.28
11689,11690.jpg,-17.34
7451,7452.jpg,-2.32
30622,30623.jpg,38.82
24620,24621.jpg,4.74
12842,12843.jpg,7.87
24601,24602.jpg,91.26
11027,11028.jpg,1.11
766,767.jpg,-26.62
12357,12358.jpg,26.12
39749,39750.jpg,0.61
39239,39240.jpg,9.08
9858,9859.jpg,-16.94
40720,40721.jpg,0.3
41254,41255.jpg,0.61
42965,42966.jpg,-17.55
8802,8803.jpg,1.71
39282,39283.jpg,8.37
26323,26324.jpg,17.55
45124,45125.jpg,-2.32
2145,2146.jpg,0.0
17797,17798.jpg,-1.51
35086,35087.jpg,78.96
22333,22334.jpg,-5.75
34508,34509.jpg,37.51
7796,7797.jpg,16.13
36430,36431.jpg,42.35
33409,33410.jpg,61.51
16207,16208.jpg,11.39
32226,32227.jpg,46.49
22600,22601.jpg,-4.34
23535,23536.jpg,-13.71
25246,25247.jpg,-1.11
6324,6325.jpg,23.7
238,239.jpg,7.87
7092,7093.jpg,-2.12
8919,8920.jpg,-0.81
40923,40924.jpg,0.1
25315,25316.jpg,-8.47
15795,15796.jpg,-16.74
26935,26936.jpg,-2.42
30976,30977.jpg,-70.69
45136,45137.jpg,3.23
11229,11230.jpg,0.0
39608,39609.jpg,4.64
31834,31835.jpg,-34.18
30017,30018.jpg,-25.82
440,441.jpg,1.92
20272,20273.jpg,-10.08
3231,3232.jpg,2.42
45311,45312.jpg,17.75
37322,37323.jpg,5.85
29140,29141.jpg,2.52
33333,33334.jpg,17.34
20104,20105.jpg,-19.97
14670,14671.jpg,-110.1
27888,27889.jpg,-15.73
38386,38387.jpg,21.58
26607,26608.jpg,-88.13
16608,16609.jpg,-13.01
42885,42886.jpg,2.32
43398,43399.jpg,9.78
26058,26059.jpg,7.97
36853,36854.jpg,-3.23
33133,33134.jpg,-9.48
16788,16789.jpg,2.62
35641,35642.jpg,-32.37
16841,16842.jpg,1.51
43907,43908.jpg,-15.83
36841,36842.jpg,-2.22
32620,32621.jpg,-22.49
8497,8498.jpg,2.62
38097,38098.jpg,-6.25
17219,17220.jpg,-1.41
24794,24795.jpg,2.82
37564,37565.jpg,-4.24
1078,1079.jpg,9.98
43311,43312.jpg,5.14
35465,35466.jpg,30.45
7009,7010.jpg,-1.31
40416,40417.jpg,13.51
29654,29655.jpg,33.18
11534,11535.jpg,2.02
22136,22137.jpg,-0.91
41385,41386.jpg,-0.5
26258,26259.jpg,28.44
35658,35659.jpg,-38.32
39006,39007.jpg,12.0
13044,13045.jpg,5.45
39752,39753.jpg,0.4
4557,4558.jpg,21.18
37318,37319.jpg,4.64
33801,33802.jpg,-10.29
6258,6259.jpg,15.03
18279,18280.jpg,6.66
40315,40316.jpg,12.3
35348,35349.jpg,4.84
14117,14118.jpg,2.82
19164,19165.jpg,0.4
12915,12916.jpg,9.48
10994,10995.jpg,-5.55
41479,41480.jpg,1.82
43085,43086.jpg,4.84
10440,10441.jpg,0.0
42339,42340.jpg,-2.02
37121,37122.jpg,-60.81
24294,24295.jpg,16.44
30134,30135.jpg,-41.14
41140,41141.jpg,2.02
2057,2058.jpg,0.3
39341,39342.jpg,4.84
7578,7579.jpg,0.3
14464,14465.jpg,6.55
42228,42229.jpg,-133.8
41410,41411.jpg,1.31
44237,44238.jpg,9.28
22176,22177.jpg,2.72
3370,3371.jpg,2.42
36653,36654.jpg,26.52
15345,15346.jpg,1.01
39664,39665.jpg,5.55
8727,8728.jpg,-9.98
21134,21135.jpg,-2.32
20274,20275.jpg,-10.39
42233,42234.jpg,-140.8
13322,13323.jpg,2.12
37260,37261.jpg,-20.37
43944,43945.jpg,-19.97
42434,42435.jpg,5.24
37927,37928.jpg,-11.39
34350,34351.jpg,4.74
21926,21927.jpg,0.2
43629,43630.jpg,22.29
7321,7322.jpg,-3.63
33272,33273.jpg,-20.27
1322,1323.jpg,57.78
42461,42462.jpg,1.31
34126,34127.jpg,32.57
27300,27301.jpg,5.95
6338,6339.jpg,0.0
19834,19835.jpg,-8.27
44256,44257.jpg,9.38
30055,30056.jpg,-34.49
15282,15283.jpg,-2.12
4898,4899.jpg,19.36
21954,21955.jpg,2.32
32444,32445.jpg,-21.18
7565,7566.jpg,0.2
28377,28378.jpg,5.95
14448,14449.jpg,10.89
28696,28697.jpg,4.74
15756,15757.jpg,-17.65
10518,10519.jpg,0.5
42822,42823.jpg,12.81
829,830.jpg,-0.61
8452,8453.jpg,0.2
18631,18632.jpg,8.57
11517,11518.jpg,1.51
2198,2199.jpg,0.0
19202,19203.jpg,13.31
1350,1351.jpg,16.44
7576,7577.jpg,0.3
40302,40303.jpg,11.5
35145,35146.jpg,14.82
35325,35326.jpg,-1.11
4351,4352.jpg,5.95
23946,23947.jpg,15.13
191,192.jpg,2.32
41287,41288.jpg,4.13
5233,5234.jpg,-8.77
6699,6700.jpg,1.51
42065,42066.jpg,-15.93
26792,26793.jpg,-4.84
1617,1618.jpg,0.1
26596,26597.jpg,-87.13
23115,23116.jpg,-0.1
28543,28544.jpg,-19.36
2625,2626.jpg,-6.86
30721,30722.jpg,19.26
24904,24905.jpg,-18.15
5815,5816.jpg,-15.23
28541,28542.jpg,-18.35
24446,24447.jpg,11.9
1450,1451.jpg,-9.28
8585,8586.jpg,-9.78
34940,34941.jpg,28.84
29818,29819.jpg,3.43
24387,24388.jpg,16.03
34929,34930.jpg,22.49
27521,27522.jpg,22.39
39690,39691.jpg,8.07
1149,1150.jpg,5.04
23019,23020.jpg,0.81
13565,13566.jpg,31.46
22869,22870.jpg,0.0
9714,9715.jpg,-5.45
22097,22098.jpg,0.1
9032,9033.jpg,22.08
2406,2407.jpg,-0.4
10556,10557.jpg,2.22
16816,16817.jpg,1.21
212,213.jpg,-0.91
7146,7147.jpg,-2.02
34186,34187.jpg,-21.38
11767,11768.jpg,-15.93
36698,36699.jpg,9.88
26316,26317.jpg,17.24
20758,20759.jpg,0.91
29579,29580.jpg,-10.59
8164,8165.jpg,0.1
6049,6050.jpg,-13.82
13918,13919.jpg,-21.68
31497,31498.jpg,-3.23
35882,35883.jpg,-34.18
37842,37843.jpg,-10.08
23164,23165.jpg,17.14
39229,39230.jpg,6.86
23629,23630.jpg,-10.79
30518,30519.jpg,50.12
36400,36401.jpg,53.14
42437,42438.jpg,0.0
894,895.jpg,147.23
42365,42366.jpg,-2.12
6343,6344.jpg,24.91
6363,6364.jpg,21.88
36443,36444.jpg,46.29
42890,42891.jpg,2.32
34615,34616.jpg,-63.83
22201,22202.jpg,0.2
27379,27380.jpg,2.62
31860,31861.jpg,-11.09
5484,5485.jpg,-15.53
5966,5967.jpg,-16.74
30319,30320.jpg,1.61
34953,34954.jpg,36.3
40753,40754.jpg,-0.3
12505,12506.jpg,-3.03
13945,13946.jpg,-18.86
13307,13308.jpg,1.71
40381,40382.jpg,14.12
33339,33340.jpg,22.59
12115,12116.jpg,1.92
24688,24689.jpg,-1.61
29983,29984.jpg,-26.32
9253,9254.jpg,23.9
44667,44668.jpg,9.78
11541,11542.jpg,2.42
38968,38969.jpg,12.4
36028,36029.jpg,-4.24
306,307.jpg,194.42
5214,5215.jpg,-2.52
18025,18026.jpg,8.57
10595,10596.jpg,-64.64
1970,1971.jpg,0.3
11194,11195.jpg,0.81
20810,20811.jpg,12.81
27868,27869.jpg,-13.31
18194,18195.jpg,1.61
5267,5268.jpg,-24.0
29198,29199.jpg,-1.71
33984,33985.jpg,11.6
30419,30420.jpg,43.76
39650,39651.jpg,5.65
39855,39856.jpg,-0.4
41321,41322.jpg,-1.11
39258,39259.jpg,12.0
25522,25523.jpg,12.3
23838,23839.jpg,1.71
17745,17746.jpg,1.21
28336,28337.jpg,30.96
25341,25342.jpg,-18.25
21022,21023.jpg,26.32
42623,42624.jpg,18.05
26663,26664.jpg,-62.52
28355,28356.jpg,9.58
29375,29376.jpg,-11.39
44390,44391.jpg,9.78
8490,8491.jpg,3.23
8838,8839.jpg,0.61
10728,10729.jpg,8.17
16687,16688.jpg,-13.71
34595,34596.jpg,-66.45
40617,40618.jpg,1.31
31480,31481.jpg,-1.71
210,211.jpg,-0.4
39380,39381.jpg,9.78
16547,16548.jpg,-13.41
39030,39031.jpg,-14.42
21914,21915.jpg,0.1
45113,45114.jpg,-0.5
27301,27302.jpg,6.45
33589,33590.jpg,-5.45
31109,31110.jpg,-37.31
9870,9871.jpg,4.44
30315,30316.jpg,1.01
38803,38804.jpg,8.27
6342,6343.jpg,24.91
7049,7050.jpg,2.32
4558,4559.jpg,20.87
2723,2724.jpg,-7.66
20895,20896.jpg,11.5
10132,10133.jpg,0.0
13919,13920.jpg,-21.68
38261,38262.jpg,-26.42
35491,35492.jpg,27.03
8622,8623.jpg,-10.29
20012,20013.jpg,-7.66
15922,15923.jpg,-10.39
4306,4307.jpg,2.22
43282,43283.jpg,-12.61
11140,11141.jpg,2.62
20238,20239.jpg,-9.58
28148,28149.jpg,34.49
18869,18870.jpg,2.42
20692,20693.jpg,-4.13
38790,38791.jpg,8.27
22311,22312.jpg,0.91
25650,25651.jpg,-26.72
32280,32281.jpg,22.18
20515,20516.jpg,-12.91
44165,44166.jpg,9.98
30757,30758.jpg,0.5
17976,17977.jpg,5.95
11645,11646.jpg,-16.94
21364,21365.jpg,9.48
43472,43473.jpg,-7.06
42254,42255.jpg,-140.2
11016,11017.jpg,0.4
34140,34141.jpg,16.64
15397,15398.jpg,-16.64
23405,23406.jpg,1.61
32079,32080.jpg,23.6
14175,14176.jpg,-24.1
36389,36390.jpg,47.39
26995,26996.jpg,-1.31
32207,32208.jpg,39.83
24340,24341.jpg,2.02
28299,28300.jpg,41.85
23978,23979.jpg,0.0
11136,11137.jpg,2.32
8668,8669.jpg,-10.08
4496,4497.jpg,88.13
18525,18526.jpg,2.22
18728,18729.jpg,3.43
1376,1377.jpg,-0.91
42268,42269.jpg,-134.7
32507,32508.jpg,-26.02
40137,40138.jpg,-0.61
31235,31236.jpg,-0.91
42654,42655.jpg,15.33
42750,42751.jpg,15.93
40555,40556.jpg,-0.81
24947,24948.jpg,-23.29
26372,26373.jpg,14.12
4040,4041.jpg,11.09
29549,29550.jpg,-19.56
39937,39938.jpg,-2.02
41240,41241.jpg,0.61
28922,28923.jpg,1.61
26876,26877.jpg,-10.49
14237,14238.jpg,-14.12
36056,36057.jpg,-4.64
18335,18336.jpg,2.02
117,118.jpg,5.55
3066,3067.jpg,4.74
23957,23958.jpg,14.82
44891,44892.jpg,9.58
20429,20430.jpg,6.66
37311,37312.jpg,5.55
35791,35792.jpg,-64.44
28780,28781.jpg,-10.08
11956,11957.jpg,-18.25
18364,18365.jpg,-0.91
5813,5814.jpg,-15.03
5406,5407.jpg,-19.76
11574,11575.jpg,0.91
1575,1576.jpg,-1.11
42269,42270.jpg,0.0
43145,43146.jpg,6.35
6465,6466.jpg,13.92
5683,5684.jpg,-15.33
37342,37343.jpg,21.98
27841,27842.jpg,0.0
11612,11613.jpg,-5.75
28040,28041.jpg,37.11
7987,7988.jpg,1.01
14961,14962.jpg,17.65
19921,19922.jpg,-10.69
41712,41713.jpg,0.0
3443,3444.jpg,0.2
18352,18353.jpg,0.61
23627,23628.jpg,-10.79
10743,10744.jpg,7.06
35727,35728.jpg,-68.67
14139,14140.jpg,-0.4
18337,18338.jpg,1.92
2110,2111.jpg,0.0
28734,28735.jpg,-5.75
8277,8278.jpg,5.14
23206,23207.jpg,12.0
5916,5917.jpg,-16.64
30955,30956.jpg,-44.67
26491,26492.jpg,5.34
16173,16174.jpg,12.3
36505,36506.jpg,51.23
30536,30537.jpg,49.31
44626,44627.jpg,9.78
21380,21381.jpg,13.41
10283,10284.jpg,0.0
23330,23331.jpg,14.62
35576,35577.jpg,7.06
10973,10974.jpg,-5.55
658,659.jpg,1.01
7759,7760.jpg,18.66
35755,35756.jpg,-65.95
4703,4704.jpg,0.0
9700,9701.jpg,-11.9
29547,29548.jpg,-19.56
42816,42817.jpg,13.01
37705,37706.jpg,0.5
28468,28469.jpg,-19.76
23122,23123.jpg,0.1
33953,33954.jpg,7.16
17322,17323.jpg,2.82
38163,38164.jpg,24.81
3188,3189.jpg,4.44
41129,41130.jpg,2.02
6014,6015.jpg,-16.84
38549,38550.jpg,0.0
23259,23260.jpg,9.38
30786,30787.jpg,12.2
281,282.jpg,501.78
13796,13797.jpg,19.97
20431,20432.jpg,6.76
12286,12287.jpg,0.0
10892,10893.jpg,-9.48
8883,8884.jpg,0.5
2607,2608.jpg,-8.97
30246,30247.jpg,2.42
38013,38014.jpg,-1.92
14467,14468.jpg,5.04
33262,33263.jpg,-31.46
22575,22576.jpg,-3.93
9990,9991.jpg,-5.45
30629,30630.jpg,38.02
3895,3896.jpg,6.66
9865,9866.jpg,-2.22
27451,27452.jpg,22.89
17732,17733.jpg,0.91
28659,28660.jpg,-5.45
1609,1610.jpg,0.1
17176,17177.jpg,1.92
7932,7933.jpg,-2.22
2081,2082.jpg,0.0
23554,23555.jpg,-13.41
36103,36104.jpg,-4.24
29905,29906.jpg,0.0
35033,35034.jpg,72.4
4298,4299.jpg,-0.71
37932,37933.jpg,-13.41
8025,8026.jpg,-2.52
965,966.jpg,209.45
20415,20416.jpg,3.83
3713,3714.jpg,2.22
36869,36870.jpg,-0.5
21573,21574.jpg,-25.71
22933,22934.jpg,0.2
33210,33211.jpg,-54.66
1005,1006.jpg,114.55
22263,22264.jpg,0.0
16966,16967.jpg,0.5
31967,31968.jpg,5.95
37686,37687.jpg,-2.62
6745,6746.jpg,1.51
3631,3632.jpg,2.82
43627,43628.jpg,22.29
11728,11729.jpg,-15.03
32091,32092.jpg,25.71
39897,39898.jpg,2.22
27614,27615.jpg,25.21
18470,18471.jpg,0.81
20090,20091.jpg,-16.94
32924,32925.jpg,7.06
10589,10590.jpg,-39.23
37100,37101.jpg,-64.44
17406,17407.jpg,2.92
29595,29596.jpg,3.93
18283,18284.jpg,6.86
20426,20427.jpg,6.66
24985,24986.jpg,-24.5
12392,12393.jpg,29.75
7763,7764.jpg,16.54
4586,4587.jpg,16.64
2827,2828.jpg,-1.61
10952,10953.jpg,-5.14
34746,34747.jpg,2.42
2569,2570.jpg,-8.17
7730,7731.jpg,17.04
42468,42469.jpg,1.51
2329,2330.jpg,5.65
28167,28168.jpg,41.04
41412,41413.jpg,1.51
22845,22846.jpg,0.2
36969,36970.jpg,-16.34
10018,10019.jpg,0.3
20361,20362.jpg,-2.02
38487,38488.jpg,13.01
26276,26277.jpg,13.31
24980,24981.jpg,-24.1
8729,8730.jpg,-9.98
20654,20655.jpg,1.01
42176,42177.jpg,0.0
950,951.jpg,220.54
19925,19926.jpg,-7.56
22233,22234.jpg,1.51
24266,24267.jpg,6.66
13518,13519.jpg,24.81
14802,14803.jpg,-2.42
4330,4331.jpg,5.24
18479,18480.jpg,1.92
7485,7486.jpg,0.0
2800,2801.jpg,-0.3
7688,7689.jpg,8.07
32001,32002.jpg,20.37
2672,2673.jpg,-9.38
4252,4253.jpg,-2.52
29434,29435.jpg,-13.01
24569,24570.jpg,162.15
3482,3483.jpg,-0.1
2887,2888.jpg,2.72
28145,28146.jpg,33.68
22152,22153.jpg,-2.22
44252,44253.jpg,9.28
4225,4226.jpg,-4.54
33552,33553.jpg,1.71
26150,26151.jpg,93.08
10998,10999.jpg,-5.04
4546,4547.jpg,21.28
35080,35081.jpg,70.18
5674,5675.jpg,-14.42
1431,1432.jpg,-2.22
17752,17753.jpg,2.72
8783,8784.jpg,2.62
33914,33915.jpg,13.41
2134,2135.jpg,0.1
3285,3286.jpg,2.42
12487,12488.jpg,2.32
41923,41924.jpg,0.5
45231,45232.jpg,14.12
8048,8049.jpg,1.21
29653,29654.jpg,32.77
12608,12609.jpg,2.52
31527,31528.jpg,33.48
34592,34593.jpg,-65.14
19065,19066.jpg,-7.66
25818,25819.jpg,-71.09
14624,14625.jpg,-30.35
33749,33750.jpg,-25.92
30726,30727.jpg,19.66
3763,3764.jpg,2.72
27241,27242.jpg,7.46
10637,10638.jpg,-151.6
11932,11933.jpg,-15.43
17663,17664.jpg,2.72
39322,39323.jpg,0.4
18086,18087.jpg,7.46
24154,24155.jpg,-3.93
13591,13592.jpg,0.0
44883,44884.jpg,11.6
22372,22373.jpg,-7.26
11245,11246.jpg,0.81
29745,29746.jpg,6.35
24398,24399.jpg,25.31
19861,19862.jpg,-6.15
44043,44044.jpg,13.21
19361,19362.jpg,5.65
39936,39937.jpg,-2.02
8266,8267.jpg,2.42
10649,10650.jpg,-152.2
30019,30020.jpg,-26.32
9002,9003.jpg,10.29
3174,3175.jpg,4.44
1410,1411.jpg,-0.5
28978,28979.jpg,-0.3
33500,33501.jpg,57.28
38832,38833.jpg,8.27
19796,19797.jpg,-7.46
45000,45001.jpg,15.03
11844,11845.jpg,-18.96
34327,34328.jpg,-15.73
